N,P,K,temperature,humidity,ph,rainfall,season,crop
49.51,56.33,49.25,29.83,73.54,5.99,99.2,2,Papaya
17.66,42.33,23.35,31.99,42.03,6.24,64.18,2,Moth Beans
24.63,58.54,32.35,29.67,61.96,5.47,69.69,2,Mung Beans
26.5,19.97,22.73,26.32,74.83,5.75,191.16,0,Coconut
123.29,26.5,46.24,26.15,79.83,6.15,88.21,2,Muskmelon
17.7,71.58,15.31,19.42,61.24,6.33,98.87,2,Kidney Beans
21.44,20.78,33.47,26.4,74.86,5.67,95.48,2,Pomegranate
29.3,23.1,30.21,28.31,86.25,5.56,142.69,0,Coconut
39.66,71.04,21.72,22.44,51.54,7.48,64.64,2,Chickpea
22.94,25.42,33.71,26.82,60.33,6.43,110.31,2,Mango
31.18,32.61,27.67,28.5,58.55,6.19,105.91,2,Mango
77.71,45.49,38.89,25.37,95.58,6.71,130.22,0,Jute
18.94,51.81,19.98,27.32,60.74,5.93,94.92,2,Black Gram
19.76,53.17,23.01,30.22,64.49,6.17,102.48,2,Pigeon Peas
124.16,44.02,17.5,27.93,63.72,6.82,77.72,2,Cotton
82.42,46.16,41.56,24.98,88.8,6.42,146.25,2,Jute
25.4,26.68,37.26,26.43,56.44,6.1,79.14,2,Grapes
24.87,59.78,28.34,27.87,56.87,6.25,112.13,2,Pigeon Peas
81.71,24.13,44.81,23.09,77.23,6.31,74.29,2,Muskmelon
49.04,62.05,38.55,23.58,49.95,6.47,75.3,2,Chickpea
90.37,45.37,35.33,28.05,68.78,6.5,212.4,2,Rice
46.93,63.5,25.46,20.08,42.51,6.4,69.39,1,Chickpea
27.68,51.55,25.48,29.9,63.58,6.84,74.13,2,Mung Beans
28.33,129.1,204.05,16.5,57.97,6.13,98.18,1,Apple
31.16,69.0,39.77,21.34,63.16,6.71,56.32,2,Chickpea
140,17.12,32.39,23.01,68.21,6.09,145.07,2,Coffee
22.06,47.84,31.62,26.39,61.36,6.55,101.66,2,Black Gram
25.91,64.88,21.57,30.49,48.58,6.62,106.09,2,Pigeon Peas
50.2,67.11,29.11,22.37,71.58,5.6,79.48,2,Chickpea
22.94,55.39,31.31,26.38,73.43,5.71,69.85,2,Mung Beans
22.73,50.25,18.14,26.19,60.32,6.04,77.22,2,Mung Beans
20.83,16.77,32.78,25.04,60.87,6.02,78.56,2,Pomegranate
19.69,28.08,32.73,24.41,66.45,7.53,68.54,2,Grapes
103.35,37.67,37.8,28.07,89.36,6.26,173.35,0,Jute
42.34,66.15,48.66,28.22,80.96,7.09,87.38,2,Papaya
115.17,18.07,40.07,23.04,71.29,6.04,90.95,2,Muskmelon
29.76,27.43,40.16,28.83,74.94,6.38,174.32,0,Coconut
68.32,53.11,40.1,23.49,78.78,5.57,87.78,2,Maize
22.8,49.18,27.71,25.62,62.34,6.19,104.01,2,Pigeon Peas
78.92,19.57,28.03,21.56,71.61,6.17,110.41,2,Coffee
30.83,15.97,29.88,28.47,82.67,5.94,173.27,0,Coconut
22.62,28.7,29.55,25.32,57.5,6.61,76.96,2,Mango
107.17,18.08,49.7,24.91,75.56,6.62,101.19,2,Watermelon
25.08,44.68,24.6,27.51,57.97,6.77,91.15,2,Black Gram
19.24,44.72,24.95,33.06,47.73,6.11,69.55,2,Moth Beans
25.2,47.51,24.82,29.27,56.8,5.73,76.7,2,Mung Beans
21.13,53.55,29.57,27.67,57.0,6.36,103.5,2,Pigeon Peas
19.49,145,196.86,21.2,54.29,6.07,132.65,1,Apple
25.99,48.55,25.66,27.8,58.18,6.26,95.23,2,Mung Beans
84.95,39.91,33.11,26.71,68.83,6.22,99.74,2,Maize
20.56,36.68,26.75,30.68,39.96,7.05,64.65,2,Moth Beans
13.56,15.49,30.04,26.15,49.05,6.11,66.09,2,Pomegranate
16.85,142.09,165.94,17.18,63.56,6.12,98.53,2,Apple
83.41,48.4,41.08,25.48,82.77,7.35,131.51,0,Jute
89.39,38.99,42.73,24.67,63.66,6.23,172.53,2,Rice
15.83,145,167.79,18.97,60.94,5.89,107.52,2,Apple
19.29,32.22,26.49,25.05,74.28,6.9,84.25,2,Grapes
106.54,16.72,47.26,28.91,69.91,6.03,81.7,2,Watermelon
26.5,60.38,26.92,16.26,54.92,6.4,60.85,1,Lentil
30.22,76.39,21.52,17.25,58.38,5.77,54.95,1,Lentil
104.66,89.14,54.77,27.18,80.36,7.07,109.96,0,Banana
20.97,46.56,23.95,24.84,65.42,6.19,95.74,2,Pigeon Peas
59.83,50.35,42.84,31.37,86.99,6.52,184.35,0,Rice
27.05,60.86,24.39,28.41,54.65,5.41,118.61,2,Pigeon Peas
121.28,15.16,37.45,29.22,73.46,5.98,102.52,0,Watermelon
25.82,50.43,22.89,27.28,56.26,6.84,128.57,2,Pigeon Peas
88.55,13.67,50.2,24.8,74.37,6.23,110.81,2,Watermelon
91.85,23.85,35.81,23.78,87.4,6.84,166.73,2,Coffee
11.27,18.29,10.61,26.04,89.64,7.15,107.16,0,Orange
17.21,32.58,35.57,24.21,51.8,6.21,61.57,2,Grapes
29.22,46.19,29.35,26.98,53.6,6.25,85.3,2,Black Gram
22.84,49.03,20.19,27.73,67.13,6.98,113.61,2,Pigeon Peas
27.43,65.1,26.38,26.72,58.01,6.15,98.42,2,Pigeon Peas
28.08,21.49,37.67,23.15,66.11,6.37,87.4,2,Grapes
25.87,28.3,38.78,23.31,52.91,6.33,70.53,2,Grapes
66.05,47.53,33.67,21.08,76.48,6.39,116.18,2,Maize
76.04,40.04,33.78,27.18,83.98,6.74,170.16,0,Jute
28.08,38.63,22.74,31.2,61.27,6.46,112.72,2,Mung Beans
24.59,17.63,31.11,27.84,52.39,7.69,71.01,2,Pomegranate
26.29,31.39,30.94,30.18,30.7,7.33,50.53,2,Moth Beans
92.44,22.42,26.56,18.6,74.32,5.06,105.38,2,Coffee
48.49,59.78,36.64,22.14,81.3,6.66,118.92,2,Papaya
24.2,65.19,29.32,25.38,48.48,6.4,75.58,2,Black Gram
90.68,40.26,27.34,25.4,67.25,6.85,85.79,2,Cotton
84.75,42.02,44.18,29.42,88.88,6.84,169.37,0,Jute
19.14,136.14,205,16.25,65.63,6.03,83.96,2,Apple
77.35,46.57,42.16,28.85,63.86,6.89,90.77,2,Maize
107.88,16.85,48.02,28.37,72.69,5.14,98.1,2,Watermelon
91.97,28.68,60.02,26.74,79.23,6.2,95.81,2,Muskmelon
72.02,50.49,38.83,25.66,96.76,6.46,146.98,0,Jute
54.49,66.09,41.84,25.38,79.84,6.98,57.87,2,Papaya
83.27,46.74,31.45,23.94,59.7,7.6,83.81,2,Maize
118.8,17.46,52.05,24.97,76.1,6.44,80.23,2,Watermelon
25.31,52.74,29.9,27.86,62.93,4.43,117.48,2,Pigeon Peas
20.58,19.99,30.22,24.73,96.84,6.09,139.86,2,Coconut
27.12,63.16,22.62,28.11,72.34,6.98,108.15,0,Black Gram
27.95,63.95,26.49,17.97,54.74,5.91,39.78,1,Lentil
130.67,23.92,24.93,27.74,75.75,5.59,132.75,0,Coffee
76.81,23.79,49.0,26.1,88.13,5.42,118.29,0,Watermelon
16.97,21.97,36.79,25.11,68.11,5.94,73.0,2,Pomegranate
13.91,73.91,28.38,17.13,55.75,6.8,50.93,1,Lentil
40.37,73.08,34.09,19.2,57.59,6.47,57.67,1,Chickpea
88.45,44.79,41.56,31.87,92.15,6.32,153.99,0,Jute
100.7,16.44,26.58,24.57,72.84,6.0,107.48,2,Coffee
22.39,26.77,23.66,28.49,88.04,5.92,150.61,0,Coconut
23.89,54.5,24.9,28.06,60.58,6.17,80.92,2,Mung Beans
109.03,42.98,20.23,27.38,55.82,6.75,106.27,2,Cotton
86.32,49.43,40.61,27.52,91.11,7.27,151.13,0,Jute
29.56,60.23,27.7,24.93,66.45,6.11,83.36,2,Mung Beans
87.83,22.31,32.28,26.55,79.11,5.91,136.51,0,Coffee
27.34,59.79,22.84,27.95,68.56,5.46,120.62,2,Pigeon Peas
92.04,17.67,41.54,26.98,74.14,5.97,107.57,0,Watermelon
25.55,46.07,26.94,13.69,48.75,6.43,67.66,1,Lentil
25.56,69.11,26.96,17.87,63.42,5.43,78.74,2,Kidney Beans
20.49,130.77,205,18.84,66.53,6.6,105.49,2,Apple
17.6,45.22,22.17,27.75,56.06,7.36,58.34,2,Moth Beans
27.71,54.97,22.96,20.36,53.87,6.15,52.73,1,Lentil
27.85,67.21,27.62,28.96,63.56,5.71,121.57,2,Pigeon Peas
50.24,68.83,46.87,25.57,77.33,6.47,93.86,2,Papaya
21.7,19.35,35.93,29.38,83.96,5.7,134.26,0,Coconut
22.14,22.38,37.49,24.8,47.34,7.31,67.97,2,Pomegranate
94.28,15.52,62.15,28.57,67.31,5.9,88.31,2,Muskmelon
81.86,41.48,40.42,29.78,83.84,6.32,104.86,0,Maize
78.05,90.31,37.0,27.22,85.64,5.86,93.87,2,Banana
29.1,18.1,27.47,24.99,90.0,6.14,195.8,2,Coconut
55.45,65.25,45.73,25.71,86.07,6.06,96.91,2,Papaya
101.77,11.88,59.53,26.46,77.12,5.96,87.93,2,Watermelon
35.92,71.25,34.96,25.31,52.87,7.07,76.79,2,Chickpea
82.76,21.22,26.75,20.41,93.58,6.63,179.69,2,Coffee
62.56,43.31,42.35,29.92,80.32,6.67,207.45,0,Rice
111.38,21.31,21.64,20.69,78.31,5.52,148.65,2,Coffee
78.27,27.2,32.61,27.68,73.61,6.29,172.55,0,Coffee
30.39,30.21,32.57,25.72,77.6,7.09,85.15,2,Mango
70.46,43.53,46.35,24.75,99.98,6.76,129.18,2,Jute
21.31,46.97,31.16,27.21,63.69,7.23,87.09,2,Mung Beans
21.23,51.71,26.6,27.84,55.69,6.85,76.3,2,Black Gram
83.94,38.86,39.01,28.77,89.75,6.98,181.32,0,Jute
26.18,15.38,26.49,25.76,84.47,6.05,187.23,0,Coconut
102.59,93.32,50.67,31.57,86.01,6.08,119.24,0,Banana
66.82,49.9,38.85,29.4,74.98,6.38,110.09,0,Maize
22.36,62.84,27.91,26.03,72.01,6.33,102.33,0,Black Gram
15.61,127.79,173.42,18.71,66.87,5.89,101.71,2,Apple
92.44,48.3,37.09,26.53,86.87,5.82,190.02,0,Rice
26.57,19.24,27.44,27.98,82.12,6.93,216.18,0,Coconut
94.31,19.87,37.44,27.76,61.26,6.58,89.87,2,Muskmelon
65.02,46.06,39.08,32.44,77.72,6.64,152.93,0,Rice
13.41,38.07,20.54,29.38,44.47,6.38,61.39,2,Moth Beans
15.14,14.58,30.96,26.61,56.51,6.22,63.91,2,Pomegranate
14.37,16.76,39.57,26.4,44.44,6.4,70.72,2,Pomegranate
10.97,61.4,17.16,17.39,64.07,5.99,87.45,2,Kidney Beans
19.66,50.59,23.29,31.27,66.66,6.77,68.78,2,Mung Beans
18.29,145,205,19.57,53.44,5.82,122.96,1,Apple
87.93,46.47,27.85,23.62,75.31,5.96,83.64,2,Maize
28.12,20.18,31.16,28.31,90.0,6.52,224.69,0,Coconut
46.61,75.24,34.3,21.02,44.23,6.46,67.74,1,Chickpea
13.37,138.93,205,18.24,53.32,5.55,123.59,1,Apple
25.05,18.54,33.39,28.78,83.96,5.38,184.55,0,Coconut
70.78,95.02,37.33,29.14,76.85,6.64,129.94,0,Banana
31.63,31.7,32.1,29.47,70.11,7.01,62.7,2,Mango
34.58,71.82,41.51,21.71,64.77,5.5,71.72,2,Chickpea
13.68,37.83,22.9,28.44,77.41,6.73,83.61,2,Mung Beans
119.14,18.89,32.08,26.31,79.48,5.96,146.72,0,Coffee
138.7,37.45,23.89,28.18,72.82,6.13,116.1,0,Cotton
75.55,30.99,53.72,29.82,67.07,6.36,86.41,2,Muskmelon
140,37.48,25.08,27.93,66.72,6.17,97.71,2,Cotton
15.08,30.74,30.82,23.81,69.42,6.67,76.21,2,Grapes
67.73,48.18,48.16,25.85,81.19,6.2,153.71,0,Jute
103.8,23.84,29.43,23.88,87.1,6.44,132.19,2,Coffee
62.57,68.31,45.76,21.86,68.39,6.25,70.28,2,Papaya
27.85,17.97,26.56,27.87,85.93,6.28,164.01,0,Coconut
24.75,55.65,23.57,25.15,63.45,5.89,98.25,2,Black Gram
20.37,54.75,19.94,28.04,60.32,6.24,76.32,2,Mung Beans
15.66,63.17,16.08,21.16,66.94,6.05,128.41,2,Kidney Beans
92.57,20.37,59.73,28.52,65.46,6.18,102.85,2,Muskmelon
130.43,35.04,23.67,25.0,70.98,6.37,117.64,2,Cotton
91.12,21.65,28.36,21.21,77.62,5.66,197.92,2,Coffee
107.4,46.52,46.56,25.13,81.15,6.65,252.37,0,Rice
21.66,46.25,32.14,30.53,38.35,6.37,52.14,2,Moth Beans
45.35,62.19,45.15,25.48,81.27,6.73,116.43,0,Papaya
16.15,30.34,33.24,25.58,68.39,6.74,67.49,2,Grapes
15.79,133.75,205,14.85,52.36,5.59,104.45,1,Apple
63.99,63.89,60.81,26.19,75.72,6.63,136.14,0,Banana
23.08,48.63,21.32,29.89,56.02,6.24,102.14,2,Pigeon Peas
20.09,42.69,27.58,30.5,67.84,7.03,97.6,2,Mung Beans
21.67,50.57,22.94,15.37,41.42,6.63,46.79,1,Lentil
25.0,59.81,28.97,24.77,70.86,6.73,109.24,2,Black Gram
30.16,58.6,26.74,17.27,52.46,6.4,57.45,1,Lentil
18.98,31.17,27.88,28.14,71.29,6.81,97.52,2,Mango
33.32,141.39,173.85,17.11,61.51,7.01,113.88,2,Apple
21.52,55.18,20.79,24.08,67.2,6.75,71.13,2,Mung Beans
109.73,23.13,33.89,20.51,74.71,5.76,140.71,2,Coffee
80.59,14.09,41.31,21.89,70.05,6.86,101.78,2,Watermelon
80.32,38.12,44.03,30.1,94.05,6.43,152.21,0,Jute
18.06,52.96,21.56,20.9,67.64,6.65,57.81,2,Lentil
26.13,61.38,25.27,17.13,67.11,5.23,101.08,2,Kidney Beans
12.11,49.71,22.28,28.34,68.66,5.95,93.09,2,Black Gram
19.2,11.13,18.77,21.73,74.35,7.46,113.3,2,Orange
24.76,55.95,29.97,22.51,49.67,6.34,58.58,2,Lentil
27.17,25.52,40.58,21.91,63.78,6.32,64.16,2,Grapes
51.75,76.92,30.02,19.99,64.94,6.28,68.29,2,Chickpea
29.06,50.44,19.1,22.2,61.37,6.44,56.85,2,Lentil
77.45,42.92,40.65,28.06,73.38,5.77,83.51,2,Maize
94.36,18.72,51.33,26.3,70.8,5.89,106.51,0,Muskmelon
20.31,145,176.56,17.97,66.35,5.76,126.58,2,Apple
75.65,41.15,41.78,31.78,82.27,6.27,182.26,0,Rice
22.52,20.57,40.52,21.99,54.78,5.47,65.59,1,Pomegranate
21.07,36.82,23.54,33.76,43.2,6.35,43.02,2,Moth Beans
72.02,21.24,48.09,27.26,75.14,6.82,114.86,0,Muskmelon
21.51,14.78,11.71,20.17,81.8,6.22,105.76,2,Orange
54.58,62.3,49.56,28.04,62.33,6.46,81.77,2,Papaya
17.18,25.14,34.5,28.36,59.46,6.72,90.45,2,Mango
96.12,53.09,30.54,24.81,87.66,5.91,188.34,2,Rice
74.25,45.96,16.24,25.59,62.32,6.65,95.36,2,Cotton
98.82,13.03,44.64,29.36,66.58,6.38,92.73,2,Muskmelon
76.22,42.14,44.62,28.4,76.73,6.33,145.85,0,Jute
16.5,58.93,25.73,18.9,55.14,5.94,65.75,1,Lentil
109.62,21.43,29.4,21.23,77.32,5.6,164.87,2,Coffee
25.07,21.26,30.25,29.76,85.39,6.49,180.0,0,Coconut
93.41,46.71,41.38,25.97,87.7,5.82,171.49,0,Jute
12.21,35.56,39.72,26.65,71.77,6.91,83.03,2,Grapes
30.99,58.53,19.2,28.45,59.14,5.87,71.85,2,Pigeon Peas
23.5,50.74,23.98,21.84,50.62,6.14,43.91,1,Lentil
56.28,55.47,51.28,28.18,72.47,6.33,102.47,0,Papaya
26.03,67.99,16.63,18.45,64.84,7.32,47.16,2,Lentil
22.19,64.26,23.58,30.66,76.38,5.84,74.43,2,Pigeon Peas
26.56,10.46,17.46,26.75,69.18,6.17,137.66,2,Orange
26.07,50.56,26.41,24.82,72.49,5.32,84.8,2,Black Gram
24.73,34.54,31.64,26.32,70.69,6.92,89.1,2,Mango
20.45,74.51,9.13,18.97,66.75,6.4,106.35,2,Kidney Beans
110.86,84.39,46.95,28.74,75.33,5.94,126.16,0,Banana
8.18,55.89,19.84,19.09,58.35,6.28,85.32,1,Kidney Beans
102.57,16.02,33.16,25.36,81.98,5.13,143.39,0,Coffee
20.0,49.91,24.03,26.74,75.72,6.4,62.23,2,Mung Beans
84.9,19.27,31.36,26.08,77.29,5.85,167.32,0,Coffee
28.86,61.15,27.8,22.82,68.17,6.66,57.8,2,Lentil
27.8,68.97,23.47,18.83,75.2,6.07,121.79,2,Kidney Beans
18.23,17.59,7.41,21.87,69.28,6.27,114.92,2,Orange
101.9,16.7,42.2,28.19,73.61,6.14,91.11,2,Watermelon
22.56,64.83,24.9,27.56,67.02,7.22,92.13,2,Black Gram
15.93,18.88,38.85,24.46,56.36,6.29,83.9,2,Pomegranate
17.34,145,205,18.01,62.93,6.6,113.53,2,Apple
80.35,83.25,59.16,28.34,79.73,6.18,81.67,2,Banana
31.25,65.05,33.71,18.44,62.93,5.44,62.33,2,Chickpea
36.88,28.77,25.61,28.22,57.8,6.38,77.41,2,Mango
12.67,14.56,27.96,27.91,58.51,6.35,54.98,2,Pomegranate
17.57,15.0,12.15,21.8,78.62,6.37,68.91,2,Orange
102.63,18.76,29.58,22.44,79.07,5.86,160.02,2,Coffee
17.03,74.5,24.99,19.46,79.5,6.01,96.37,2,Kidney Beans
27.06,13.53,16.09,22.61,77.29,5.97,103.29,2,Orange
22.21,133.9,205,21.85,54.7,6.02,113.1,1,Apple
34.18,77.54,28.54,19.3,51.04,7.29,59.36,1,Chickpea
24.59,73.52,13.07,20.11,64.89,5.52,75.64,2,Kidney Beans
103.29,46.12,38.21,29.21,78.46,5.9,209.06,0,Rice
18.46,116.17,205,12.64,62.88,6.1,95.44,2,Apple
16.84,48.96,22.13,31.29,55.2,7.14,48.54,2,Moth Beans
108.66,19.72,29.29,24.15,72.51,6.59,148.73,2,Coffee
18.27,61.29,22.92,19.28,62.0,5.72,77.51,2,Kidney Beans
104.53,77.51,48.42,26.76,71.95,6.08,136.95,0,Banana
16.82,127.54,155.41,15.63,56.99,6.17,77.87,1,Apple
89.36,22.56,47.98,26.0,83.24,5.68,101.88,0,Watermelon
20.4,118.27,205,18.38,56.82,5.84,97.64,1,Apple
42.28,57.43,35.88,15.46,59.73,6.53,72.21,1,Chickpea
24.5,55.71,25.27,29.23,64.39,6.76,98.1,2,Black Gram
18.02,56.08,28.87,25.29,58.75,7.18,70.93,2,Black Gram
16.26,32.24,30.55,27.71,69.85,7.19,88.29,2,Mango
22.56,57.16,23.34,24.38,52.51,5.42,75.77,2,Black Gram
88.7,17.78,54.96,25.01,90.09,6.08,83.6,2,Watermelon
76.9,54.36,31.62,23.71,59.98,6.54,109.38,2,Maize
72.53,92.62,48.58,27.7,80.9,6.5,131.79,0,Banana
20.87,75.6,27.49,21.75,58.07,6.63,87.32,1,Kidney Beans
27.5,68.99,22.13,26.7,62.88,6.17,101.34,2,Pigeon Peas
31.39,56.41,36.34,30.26,72.67,6.8,123.72,0,Pigeon Peas
28.48,55.72,25.24,28.7,64.19,6.05,64.8,2,Mung Beans
91.04,14.62,51.61,27.78,71.16,6.89,76.64,2,Watermelon
45.53,78.91,30.92,19.93,52.5,6.7,75.46,1,Chickpea
86.95,17.96,31.35,22.11,63.56,5.58,133.42,2,Coffee
108.64,85.06,57.11,23.83,90.48,6.26,156.32,2,Banana
29.24,57.84,22.1,26.7,58.98,6.2,87.94,2,Black Gram
99.1,34.78,24.47,24.25,58.57,5.93,106.53,2,Cotton
27.44,45.86,19.41,29.32,36.35,6.49,47.99,2,Moth Beans
117.42,47.86,22.59,29.47,71.74,6.45,89.08,2,Cotton
13.87,18.42,14.0,22.37,79.64,6.6,123.55,2,Orange
26.95,64.73,20.05,21.43,63.77,5.91,92.61,2,Kidney Beans
84.08,42.24,40.51,27.63,80.86,6.04,223.89,0,Rice
41.48,56.61,25.1,15.02,58.89,6.72,57.34,1,Lentil
92.72,46.55,44.5,27.05,99.98,6.42,145.22,0,Jute
17.3,27.65,39.11,20.84,64.38,6.38,77.84,2,Grapes
18.31,20.67,31.66,24.87,87.6,5.93,180.49,2,Coconut
53.09,58.4,60.6,24.9,79.44,6.26,94.38,2,Papaya
21.18,22.02,35.97,26.77,77.33,5.83,173.76,0,Coconut
31.03,43.46,25.25,28.25,63.1,6.73,55.39,2,Moth Beans
48.68,67.78,49.98,28.68,77.24,6.32,89.58,2,Papaya
16.44,122.24,190.09,23.81,58.04,5.69,113.02,2,Apple
40.92,71.49,44.49,22.0,66.22,5.82,62.21,2,Chickpea
43.61,55.88,34.6,25.05,66.47,5.65,73.83,2,Chickpea
96.52,17.09,46.72,27.32,77.26,6.03,115.05,0,Watermelon
58.06,60.38,57.01,23.26,69.39,7.12,115.89,2,Papaya
20.95,23.35,31.76,24.82,68.59,6.47,52.58,2,Grapes
29.58,65.76,21.12,18.53,54.48,5.59,62.76,1,Lentil
32.15,29.19,29.79,27.47,68.59,6.17,90.82,2,Mango
88.15,15.09,43.93,25.21,72.89,5.86,90.27,2,Watermelon
90.8,17.72,32.48,25.52,74.51,5.36,138.94,0,Coffee
17.55,110.23,205,17.97,66.77,5.64,119.24,2,Apple
21.34,28.4,32.77,28.07,61.33,6.94,90.81,2,Mango
26.0,33.69,33.86,29.22,69.8,6.66,68.49,2,Mango
18.66,26.8,31.76,25.05,67.12,5.82,68.6,2,Grapes
120.19,18.41,40.5,25.98,73.27,5.39,68.81,2,Watermelon
24.56,57.84,24.06,27.43,61.14,6.17,124.29,2,Pigeon Peas
54.35,63.19,44.33,27.92,79.67,5.79,107.81,0,Papaya
74.91,23.36,33.52,21.06,89.71,5.39,165.03,2,Coffee
55.72,46.78,41.78,30.18,87.54,6.41,240.48,0,Rice
29.77,17.17,36.63,30.28,63.95,6.2,53.99,2,Pomegranate
18.16,20.75,34.49,28.67,91.02,6.08,221.14,0,Coconut
18.16,16.27,34.29,26.08,58.4,6.52,97.74,2,Pomegranate
29.82,31.95,30.95,25.75,65.78,6.53,92.02,2,Mango
17.77,13.2,11.81,22.21,74.7,6.07,127.71,2,Orange
22.25,66.42,28.46,27.46,65.89,6.37,108.06,2,Pigeon Peas
104.9,89.96,52.49,25.89,84.44,5.93,127.21,0,Banana
83.77,37.22,32.97,23.53,65.54,5.93,90.8,2,Maize
23.31,21.37,28.5,23.37,45.21,6.16,69.02,2,Pomegranate
109.68,35.63,19.46,25.29,74.74,7.28,101.07,0,Cotton
51.25,63.94,52.65,30.1,65.01,7.25,75.63,2,Papaya
24.33,46.23,26.86,29.84,58.87,6.1,119.05,2,Pigeon Peas
23.12,16.5,28.79,26.9,55.37,7.32,63.24,2,Pomegranate
24.81,64.38,13.19,18.97,63.95,6.59,117.04,2,Kidney Beans
22.83,22.45,32.44,19.59,60.22,5.92,68.19,2,Pomegranate
34.18,29.4,31.52,27.01,62.17,5.98,77.61,2,Mango
104.87,18.07,51.05,27.93,76.3,6.29,120.65,0,Watermelon
95.28,18.7,52.58,25.96,85.54,6.58,86.76,2,Watermelon
17.09,61.91,25.96,17.12,65.52,6.02,114.55,2,Kidney Beans
102.82,24.67,43.25,25.75,60.1,6.86,99.52,2,Muskmelon
42.45,80.24,39.66,20.9,51.86,7.3,68.93,1,Chickpea
88.59,73.07,61.8,23.36,72.89,5.8,136.19,2,Banana
17.98,49.14,28.16,28.56,60.22,6.73,86.26,2,Mung Beans
45.29,67.01,47.4,22.75,57.43,6.43,72.44,2,Chickpea
115.56,14.8,52.24,27.02,65.52,6.39,96.13,2,Muskmelon
42.31,68.35,34.92,17.0,47.37,6.79,57.18,1,Chickpea
83.6,40.04,45.51,27.04,88.72,6.03,165.23,0,Jute
44.66,68.4,56.99,25.19,75.76,7.48,95.66,2,Papaya
22.0,29.01,31.33,29.65,68.29,6.41,92.86,2,Mango
89.47,12.52,48.52,26.7,73.24,6.26,64.92,2,Muskmelon
97.01,23.38,55.47,28.13,79.12,6.44,74.38,2,Muskmelon
41.31,70.01,35.76,24.94,59.24,5.15,66.95,2,Chickpea
27.42,55.88,27.08,23.94,54.82,6.68,95.4,2,Black Gram
48.93,70.94,26.25,14.67,47.99,6.27,68.02,1,Chickpea
17.92,122.81,205,18.83,67.88,6.35,122.01,2,Apple
21.19,65.16,14.66,15.78,76.98,5.9,107.57,2,Kidney Beans
24.85,58.56,27.65,32.36,68.21,6.26,92.89,2,Mung Beans
